current_position,action,current_balance,close,next_close,SLTP,current_profit,balance,active_position
hold,short,98.0,14347.0,14342.0,-,5.0,103.0,2
short,short,103.0,14342.0,14347.8,-,-5.8,97.2,2
short,hold,97.2,14347.8,14344.2,-,3.6,100.8,2
short,long,100.8,14344.2,14340.5,-,0.0,100.8,0
hold,hold,100.8,14340.5,14337.5,-,0.0,100.8,0
hold,hold,100.8,14337.5,14338.5,-,0.0,100.8,0
hold,short,98.8,14338.5,14341.5,-,-3.0,95.8,2
short,hold,95.8,14341.5,14343.2,-,-1.7,94.1,2
short,long,94.1,14343.2,14342.8,-,0.0,94.1,0
hold,short,92.1,14342.8,14337.5,-,5.3,97.4,2
short,long,97.4,14337.5,14342.9,-,0.0,97.4,0
hold,hold,97.4,14342.9,14344.9,-,0.0,97.4,0
hold,long,95.4,14344.9,14341.8,-,-3.1,92.3,1
long,hold,92.3,14341.8,14338.0,Stop Loss,-1.9,90.4,0
hold,hold,90.4,14338.0,14342.8,-,0.0,90.4,0
hold,short,88.4,14342.8,14338.8,-,4.0,92.4,2
short,long,92.4,14338.8,14341.8,-,0.0,92.4,0
hold,long,90.4,14341.8,14343.9,-,2.1,92.5,1
long,short,92.5,14343.9,14342.2,-,0.0,92.5,0
hold,long,90.5,14342.2,14340.8,-,-1.4,89.1,1
long,short,89.1,14340.8,14335.5,-,0.0,89.1,0
hold,short,87.1,14335.5,14337.0,-,-1.5,85.6,2
short,hold,85.6,14337.0,14335.2,-,1.8,87.4,2
short,short,87.4,14335.2,14335.2,-,0.0,87.4,2
short,short,87.4,14335.2,14335.2,-,0.0,87.4,2
short,hold,87.4,14335.2,14335.2,-,0.0,87.4,2
short,long,87.4,14335.2,14334.0,-,0.0,87.4,0
hold,hold,87.4,14334.0,14325.5,-,0.0,87.4,0
hold,hold,87.4,14325.5,14319.9,-,0.0,87.4,0
hold,short,85.4,14319.9,14322.2,-,-2.3,83.1,2
short,hold,83.1,14322.2,14326.4,Stop Loss,-2.7,80.4,0
hold,short,78.4,14326.4,14328.0,-,-1.6,76.8,2
short,short,76.8,14328.0,14317.8,-,10.2,87.0,2
short,long,87.0,14317.8,14307.8,-,0.0,87.0,0
hold,long,85.0,14307.8,14314.6,-,6.8,91.8,1
long,hold,91.8,14314.6,14316.5,-,1.9,93.7,1
