current_position,action,current_balance,close,next_close,SLTP,current_profit,balance,active_position
hold,long,98.5,15512.0,15512.9,-,0.9,99.4,1
long,short,99.4,15512.9,15512.6,-,0.0,99.4,0
hold,long,97.9,15512.6,15518.3,-,5.7,103.6,1
long,short,103.6,15518.3,15522.0,-,0.0,103.6,0
hold,long,102.1,15522.0,15521.4,-,-0.6,101.5,1
long,hold,101.5,15521.4,15524.3,-,2.9,104.4,1
long,hold,104.4,15524.3,15524.8,-,0.5,104.9,1
long,long,104.9,15524.8,15525.0,-,0.2,105.1,1
long,short,105.1,15525.0,15525.0,-,0.0,105.1,0
hold,hold,105.1,15525.0,15524.0,-,0.0,105.1,0
hold,short,103.6,15524.0,15524.3,-,-0.3,103.3,2
short,long,103.3,15524.3,15519.6,-,0.0,103.3,0
hold,long,101.8,15519.6,15520.9,-,1.3,103.1,1
long,long,103.1,15520.9,15522.3,-,1.4,104.5,1
long,hold,104.5,15522.3,15518.1,-,-4.2,100.3,1
long,hold,100.3,15518.1,15512.8,Stop Loss,-3.5,96.8,0
hold,short,95.3,15512.8,15517.0,-,-4.2,91.1,2
short,short,91.1,15517.0,15517.1,-,-0.1,91.0,2
short,hold,91.0,15517.1,15519.5,Stop Loss,-0.7,90.3,0
hold,hold,90.3,15519.5,15520.0,-,0.0,90.3,0
hold,hold,90.3,15520.0,15520.4,-,0.0,90.3,0
hold,short,88.8,15520.4,15523.3,-,-2.9,85.9,2
short,hold,85.9,15523.3,15530.3,Stop Loss,-2.1,83.8,0
hold,long,82.3,15530.3,15534.3,-,4.0,86.3,1
long,short,86.3,15534.3,15525.8,-,0.0,86.3,0
hold,short,84.8,15525.8,15527.1,-,-1.3,83.5,2
short,short,83.5,15527.1,15532.5,Stop Loss,-3.7,79.8,0
hold,short,78.3,15532.5,15528.4,-,4.1,82.4,2
short,long,82.4,15528.4,15526.6,-,0.0,82.4,0
hold,short,80.9,15526.6,15535.4,Stop Loss,-5.0,75.9,0
hold,short,74.4,15535.4,15535.3,-,0.1,74.5,2
short,short,74.5,15535.3,15534.9,-,0.4,74.9,2
short,short,74.9,15534.9,15537.3,-,-2.4,72.5,2
short,long,72.5,15537.3,15541.5,-,0.0,72.5,0
hold,long,71.0,15541.5,15541.8,-,0.3,71.3,1
long,hold,71.3,15541.8,15537.6,-,-4.2,67.1,1
long,long,67.1,15537.6,15536.8,-,-0.8,66.3,1
long,short,66.3,15536.8,15551.0,-,0.0,66.3,0
hold,short,64.8,15551.0,15547.5,-,3.5,68.3,2
short,hold,68.3,15547.5,15538.5,-,9.0,77.3,2
short,short,77.3,15538.5,15487.0,Take Profit,7.5,84.8,0
hold,hold,84.8,15487.0,15458.3,-,0.0,84.8,0
hold,hold,84.8,15458.3,15458.3,-,0.0,84.8,0
hold,short,83.3,15458.3,15464.3,Stop Loss,-5.0,78.3,0
hold,short,76.8,15464.3,15447.0,-,17.3,94.1,2
short,short,94.1,15447.0,15416.3,Take Profit,2.7,96.8,0
hold,long,95.3,15416.3,15407.8,Stop Loss,-5.0,90.3,0
hold,hold,90.3,15407.8,15385.9,-,0.0,90.3,0
hold,hold,90.3,15385.9,15383.4,-,0.0,90.3,0
hold,short,88.8,15383.4,15381.5,-,1.9,90.7,2
short,short,90.7,15381.5,15394.4,Stop Loss,-6.9,83.8,0
hold,hold,83.8,15394.4,15393.6,-,0.0,83.8,0
hold,hold,83.8,15393.6,15405.1,-,0.0,83.8,0
hold,short,82.3,15405.1,15404.4,-,0.7,83.0,2
short,hold,83.0,15404.4,15434.2,Stop Loss,-5.7,77.3,0
hold,short,75.8,15434.2,15420.7,-,13.5,89.3,2
